AGEP,SCHL,MAR,SEX,DIS,ESP,CIT,MIG,MIL,ANC,NATIVITY,ESR,ST,FER,RAC1P,PUBCOV
43,6,0,1,1,0,4,2,4,0,1,6,0,0,0,1
22,18,4,1,0,0,4,2,4,0,1,6,0,0,0,0
11,16,4,1,0,0,0,0,4,0,0,6,0,0,0,0
34,18,2,1,0,0,0,0,4,0,0,6,0,0,0,0
6,18,4,1,0,0,0,0,4,0,0,6,0,0,0,0
6,9,4,0,1,0,0,2,4,1,0,6,0,2,0,0
44,10,2,1,1,0,0,2,4,0,0,6,0,0,0,0
19,21,0,1,0,0,0,2,4,0,0,6,0,0,0,0
6,19,4,0,0,0,0,0,4,0,0,2,0,2,1,0
10,18,4,1,0,0,0,2,4,0,0,6,0,0,0,0
17,18,4,1,1,0,0,2,4,0,0,6,0,0,0,1
49,14,4,0,1,0,0,0,4,0,0,6,0,0,0,1
3,15,4,1,0,0,0,2,4,0,0,6,0,0,0,0
43,15,4,1,0,0,0,0,4,0,0,6,0,0,0,1
14,10,0,1,1,0,4,1,4,0,1,6,0,0,0,0
3,15,4,0,0,0,0,2,4,0,0,6,0,2,0,0
17,16,4,1,0,0,0,2,4,0,0,6,0,0,0,0
21,15,4,1,0,0,0,0,4,1,0,6,0,0,0,0
18,16,4,1,0,0,0,2,4,1,0,6,0,0,0,0
3,15,4,0,0,0,0,1,4,0,0,6,0,2,0,1
37,18,0,1,0,0,4,2,4,0,1,6,0,0,0,0
15,11,4,1,0,0,4,2,4,0,1,6,0,0,0,0
6,18,4,1,0,0,0,0,4,0,0,6,0,0,0,0
10,13,4,1,0,0,0,0,4,0,0,6,0,0,1,0
3,17,4,1,0,0,0,2,4,0,0,6,0,0,1,0
16,13,4,1,0,0,0,2,4,0,0,6,0,0,1,0
49,11,1,1,1,0,0,0,4,0,0,6,0,0,1,0
16,16,2,1,1,0,0,0,4,0,0,6,0,0,0,0
15,11,4,0,1,0,0,0,4,1,0,6,0,2,0,1
4,17,4,1,0,0,0,2,4,3,0,6,0,0,0,0
28,13,0,1,1,0,0,0,4,0,0,6,0,0,1,1
4,15,4,0,0,0,0,2,4,1,0,6,0,2,1,0
4,15,4,0,0,0,0,0,4,0,0,6,0,2,0,0
30,11,4,1,0,0,0,0,4,3,0,6,0,0,0,1
13,15,4,1,1,0,0,0,4,1,0,6,0,0,0,0
23,12,4,0,1,0,0,0,4,2,0,6,0,2,0,0
4,15,4,0,0,0,0,2,4,0,0,6,0,2,1,0
45,18,4,1,0,0,0,0,2,0,0,6,0,0,0,0
13,15,4,1,0,0,0,0,4,0,0,6,0,0,1,0
4,17,4,0,0,0,0,2,4,0,0,6,0,2,0,0
35,16,4,0,1,0,0,2,4,1,0,6,0,2,0,0
26,13,4,1,0,0,0,0,4,2,0,6,0,0,1,0
34,16,2,1,0,0,0,0,4,0,0,6,0,0,1,0
7,18,4,0,0,0,0,0,4,0,0,1,0,2,1,0
27,19,2,1,0,0,0,2,4,0,0,6,0,0,0,0
16,12,4,1,0,0,4,2,4,0,1,6,0,0,0,0
4,18,4,0,1,0,0,2,4,0,0,6,0,2,0,0
5,18,4,0,0,0,0,0,4,0,0,6,0,2,1,0
43,15,4,0,1,0,0,2,4,0,0,6,0,0,1,1
39,19,4,1,0,0,0,2,4,1,0,6,0,0,1,0
10,20,4,0,0,0,0,0,4,0,0,6,0,2,1,0
3,18,4,0,0,0,0,0,4,3,0,6,0,2,0,0
10,16,0,1,0,0,0,0,4,0,0,6,0,0,1,0
5,15,4,0,0,0,0,0,4,0,0,6,0,2,0,0
31,13,2,1,0,0,0,0,4,0,0,6,0,0,0,0
15,13,4,0,0,0,0,0,4,0,0,6,0,2,0,1
3,15,4,0,0,0,0,0,4,0,0,6,0,2,0,0
34,11,2,1,0,0,0,2,4,1,0,6,0,0,0,0
33,16,2,1,0,0,0,0,4,0,0,6,0,0,1,0
10,16,4,1,1,0,0,0,4,0,0,6,0,0,0,0
6,19,4,0,0,0,0,0,4,0,0,2,0,2,1,0
26,14,4,1,0,0,0,2,4,0,0,6,0,0,1,0
39,18,4,1,1,0,0,0,4,1,0,6,0,0,0,1
31,15,3,1,0,0,0,2,4,1,0,6,0,0,0,1
21,19,0,0,0,0,0,0,4,1,0,6,0,2,0,1
17,18,4,0,1,0,0,2,4,1,0,6,0,2,0,1
22,12,4,1,0,0,4,0,4,0,1,6,0,0,0,0
7,15,4,1,0,0,0,2,4,3,0,6,0,0,0,0
30,18,4,1,0,0,0,2,4,0,0,6,0,0,1,1
41,18,2,1,0,0,0,0,4,0,0,6,0,0,0,0
7,18,4,1,0,0,0,0,1,1,0,4,0,0,0,0
21,11,4,1,0,0,0,0,4,0,0,6,0,0,1,1
3,15,4,1,0,0,0,2,4,0,0,3,0,0,0,0
4,15,4,1,0,0,0,0,4,0,0,6,0,0,0,1
2,17,4,1,1,0,0,2,4,3,0,6,0,0,0,0
2,7,4,0,0,0,0,2,4,0,0,6,0,2,0,1
40,11,4,1,0,0,0,0,4,0,0,6,0,0,1,0
4,15,4,0,0,0,0,2,4,0,0,1,0,2,1,0
48,15,4,0,1,0,0,0,4,0,0,6,0,0,0,1
33,15,2,1,0,0,0,2,4,0,0,6,0,0,1,0
23,10,4,1,0,0,0,2,4,0,0,6,0,0,0,0
29,12,1,1,0,0,0,2,4,0,0,6,0,0,0,0
23,11,4,1,0,0,0,0,4,0,0,6,0,0,0,0
3,17,4,0,0,0,0,2,4,2,0,6,0,2,0,0
17,18,4,1,0,0,0,2,4,0,0,6,0,0,1,0
39,18,4,1,1,0,0,0,4,1,0,6,0,0,0,1
4,17,4,0,0,0,0,2,4,0,0,6,0,2,0,0
4,17,4,1,0,0,0,2,4,0,0,6,0,0,0,0
3,17,4,0,0,0,4,2,4,0,1,3,0,2,1,0
22,7,3,1,0,0,0,0,4,0,0,6,0,0,0,0
2,10,4,1,1,0,0,2,4,0,0,6,0,0,1,0
4,17,4,0,0,0,0,0,4,1,0,1,0,2,1,0
31,18,2,1,0,0,3,0,4,0,1,6,0,0,0,0
12,15,4,1,0,0,0,0,4,2,0,6,0,0,0,0
10,18,4,1,0,0,0,2,4,0,0,6,0,0,1,1
47,18,0,1,1,0,0,0,4,3,0,6,0,0,0,1
48,20,4,1,1,0,0,0,4,0,0,6,0,0,0,1
12,13,4,1,1,0,0,0,4,0,0,6,0,0,0,1
39,15,4,1,0,0,0,0,4,3,0,1,0,0,0,0
33,15,4,1,0,0,0,2,4,3,0,3,0,0,1,1
5,19,4,1,0,0,0,0,4,0,0,1,0,0,0,0
9,15,4,1,0,0,0,1,1,0,0,4,0,0,0,0
5,18,4,1,0,0,0,2,4,0,0,6,0,0,0,0
24,16,0,1,0,0,1,0,4,0,0,6,0,0,0,0
33,16,2,1,1,0,0,0,4,1,0,6,0,0,0,0
3,15,4,0,0,0,0,2,4,0,0,6,0,2,0,0
26,17,4,1,0,0,0,0,4,0,0,6,0,0,0,0
4,18,4,1,0,0,0,0,4,0,0,6,0,0,0,0
29,12,0,1,0,0,4,0,4,0,1,1,0,0,0,0
47,21,4,0,0,0,0,0,4,0,0,6,0,0,0,1
5,18,4,1,0,0,0,0,4,1,0,6,0,0,0,0
7,19,4,1,0,0,4,1,4,0,1,6,0,0,1,1
47,10,0,0,1,0,0,0,4,0,0,6,0,0,0,1
20,18,4,0,0,0,0,0,4,0,0,6,0,2,0,1
1,0,4,1,0,0,4,1,0,0,1,6,0,0,0,0
23,19,2,1,1,0,0,2,4,1,0,6,0,0,0,0
12,15,4,1,1,0,0,0,4,0,0,6,0,0,0,1
3,17,4,0,0,0,0,2,4,0,0,6,0,2,0,0
6,18,4,1,0,0,0,0,4,3,0,6,0,0,0,0
45,20,2,0,1,0,0,0,4,3,0,6,0,0,0,1
4,15,4,0,0,0,0,2,2,0,0,1,0,2,0,0
4,18,4,1,1,0,0,0,4,1,0,2,0,0,0,0
38,18,0,0,0,0,0,0,4,1,0,6,0,0,0,0
4,18,4,0,1,0,0,2,4,0,0,6,0,2,0,0
11,17,4,1,0,0,0,2,4,0,0,1,0,0,0,0
3,18,4,0,0,0,0,0,4,0,0,6,0,2,0,0
12,11,4,1,0,0,4,0,4,0,1,6,0,0,0,0
4,15,4,0,0,0,0,2,4,3,0,6,0,2,0,0
22,16,0,1,0,0,0,0,4,0,0,6,0,0,0,0
4,18,4,1,0,0,0,2,4,0,0,6,0,0,1,0
4,18,4,1,0,0,0,2,4,3,0,6,0,0,0,0
16,12,4,1,0,0,0,0,4,3,0,6,0,0,0,0
41,15,4,0,1,0,0,0,4,0,0,1,0,0,0,1
48,18,4,0,1,0,0,0,4,0,0,6,0,0,1,1
5,18,4,0,0,0,0,0,4,0,0,1,0,2,0,0
6,18,4,1,0,0,4,0,4,0,1,1,0,0,1,0
30,13,3,0,1,0,0,2,4,0,0,6,0,2,0,0
45,15,4,0,0,0,0,2,4,0,0,1,0,0,1,1
41,16,4,1,1,0,0,2,4,1,0,6,0,0,0,0
4,18,4,0,0,0,0,0,4,1,0,6,0,2,0,0
14,12,4,1,0,0,4,0,4,0,1,1,0,0,0,0
27,17,4,1,0,0,0,2,4,1,0,6,0,0,1,0
10,15,4,0,1,0,0,2,4,0,0,6,0,2,0,1
3,16,4,1,0,0,0,2,4,3,0,6,0,0,0,0
6,19,4,1,0,0,0,2,4,0,0,6,0,0,1,0
18,16,4,0,1,0,0,2,4,0,0,6,0,2,0,1
28,15,4,1,0,0,0,0,4,0,0,6,0,0,1,0
25,15,4,0,1,0,0,0,4,0,0,6,0,2,1,1
3,19,4,0,0,0,0,2,4,1,0,1,0,2,0,0
3,17,4,1,0,0,0,2,4,0,0,6,0,0,1,0
12,17,4,1,0,0,0,2,4,0,0,6,0,0,0,0
43,15,4,0,1,0,0,2,4,0,0,6,0,0,1,1
21,11,4,1,1,0,0,0,4,0,0,6,0,0,0,0
31,20,4,1,0,0,3,2,4,1,1,6,0,0,0,0
45,16,4,1,0,0,0,2,2,0,0,1,0,0,1,0
6,18,4,1,0,0,0,0,4,0,0,6,0,0,0,0
33,15,2,1,1,0,0,0,4,0,0,6,0,0,0,0
5,15,4,1,0,0,4,2,4,0,1,3,0,0,0,0
3,15,4,0,0,0,0,0,4,1,0,1,0,2,0,0
6,18,4,1,0,0,0,0,4,0,0,6,0,0,0,0
20,11,4,1,0,0,0,0,4,2,0,1,0,0,0,1
6,16,4,1,0,0,0,0,4,3,0,6,0,0,1,0
6,18,4,1,0,0,0,0,4,1,0,6,0,0,0,0
4,18,4,0,0,0,0,0,4,0,0,1,0,2,0,0
27,9,4,1,0,0,0,2,4,0,0,6,0,0,0,0
20,16,4,1,0,0,0,2,4,0,0,6,0,0,0,0
4,18,4,1,0,0,0,0,4,3,0,1,0,0,0,0
23,12,2,1,1,0,0,2,4,3,0,6,0,0,0,0
4,15,4,1,0,0,0,2,4,0,0,6,0,0,1,0
28,16,4,1,0,0,0,0,4,0,0,6,0,0,0,0
40,15,2,1,0,0,0,0,2,2,0,6,0,0,1,0
4,20,4,1,0,0,0,0,4,3,0,6,0,0,1,0
43,16,2,1,0,0,0,2,4,0,0,6,0,0,0,0
38,20,4,1,0,0,0,0,4,0,0,6,0,0,1,0
37,15,3,1,0,0,0,2,4,0,0,6,0,0,0,0
44,19,2,1,1,0,0,2,4,0,0,6,0,0,0,0
8,20,4,1,0,0,1,0,1,0,0,4,0,0,0,0
5,15,4,0,0,0,0,2,4,3,0,1,0,2,0,0
40,19,2,1,1,0,0,0,4,1,0,6,0,0,0,0
4,18,4,1,0,0,0,0,4,0,0,6,0,0,1,0
16,12,0,1,1,0,0,2,4,3,0,6,0,0,0,0
5,18,4,0,0,0,0,0,4,0,0,1,0,2,0,0
14,12,4,1,0,0,0,2,4,0,0,6,0,0,1,0
4,17,4,0,0,0,2,2,4,0,0,6,0,2,0,0
4,15,4,0,0,0,0,0,4,3,0,6,0,2,0,0
22,15,2,1,1,0,0,2,4,0,0,6,0,0,1,0
4,15,4,1,0,0,0,2,4,0,0,6,0,0,0,0
16,15,4,0,1,0,0,0,4,3,0,6,0,2,1,1
10,18,4,1,0,0,0,2,4,0,0,6,0,0,0,0
18,12,4,0,0,0,0,2,4,0,0,6,0,2,1,1
44,15,2,1,0,0,0,0,4,0,0,6,0,0,0,0
49,18,2,0,1,0,0,2,4,3,0,6,0,0,0,1
5,15,4,1,0,0,4,1,4,0,1,6,0,0,0,0
3,17,4,0,0,0,0,2,4,0,0,6,0,2,0,0
4,18,4,1,0,0,0,2,4,0,0,6,0,0,0,0
46,15,2,1,1,0,0,0,4,0,0,6,0,0,0,1
34,21,3,1,1,0,0,2,4,1,0,6,0,0,0,0
2,11,4,1,0,0,4,2,4,0,1,6,0,0,0,0
9,18,4,1,0,0,0,0,1,0,0,4,0,0,0,0
21,14,4,0,1,0,0,0,4,0,0,6,0,2,0,0
16,16,4,0,1,0,0,2,4,3,0,6,0,2,0,0
48,15,4,1,0,0,0,0,4,0,0,6,0,0,1,0
16,15,4,1,0,0,0,2,4,2,0,6,0,0,0,0
4,18,4,0,0,0,0,2,4,0,0,6,0,2,0,0
26,10,4,1,0,0,4,1,4,0,1,6,0,0,0,0
26,11,3,1,0,0,0,2,4,0,0,6,0,0,0,0
18,15,4,1,0,0,4,2,4,3,1,6,0,0,0,0
9,15,4,1,1,0,0,0,1,0,0,4,0,0,0,0
28,11,3,1,0,0,0,2,4,0,0,6,0,0,0,0
23,18,4,1,1,0,0,0,4,1,0,6,0,0,1,0
20,15,4,1,0,0,0,0,4,0,0,6,0,0,0,0
4,17,4,1,0,0,0,2,4,3,0,1,0,0,0,0
24,15,4,1,1,0,0,0,4,0,0,6,0,0,0,1
32,15,4,1,0,0,0,0,4,0,0,6,0,0,0,0
3,17,4,1,0,0,0,2,4,0,0,6,0,0,0,0
5,18,4,1,0,0,0,0,4,1,0,1,0,0,0,0
23,10,2,1,0,0,0,2,4,0,0,6,0,0,0,0
19,11,4,1,0,0,4,1,4,0,1,6,0,0,0,0
5,18,4,0,0,0,0,0,4,0,0,6,0,2,0,0
21,13,4,1,1,0,0,2,4,0,0,6,0,0,1,0
14,18,4,1,0,0,0,2,4,0,0,6,0,0,0,0
31,16,0,1,0,0,0,0,4,1,0,6,0,0,0,0
31,8,0,1,0,0,0,0,4,0,0,6,0,0,0,0
28,20,2,1,0,0,0,2,4,1,0,6,0,0,0,0
25,12,4,0,0,0,0,2,4,0,0,6,0,2,0,0
38,19,2,1,1,0,2,0,4,0,0,6,0,0,1,0
2,13,4,1,0,0,0,2,4,0,0,6,0,0,0,1
30,18,2,1,0,0,0,0,2,0,0,6,0,0,1,0
4,17,4,1,0,0,0,2,4,3,0,6,0,0,0,0
20,15,4,0,0,0,0,2,4,1,0,6,0,2,0,0
16,15,4,0,1,0,0,0,4,3,0,6,0,2,1,1
18,20,4,1,0,0,4,0,4,0,1,1,0,0,0,0
21,21,0,0,0,0,0,0,4,1,0,1,0,2,0,0
23,10,4,1,0,0,0,0,4,0,0,6,0,0,1,0
3,18,4,0,0,0,0,2,4,1,0,1,0,2,0,0
16,15,3,0,1,0,0,2,4,0,0,6,0,2,0,0
35,16,4,1,0,0,0,2,4,2,0,6,0,0,0,0
35,18,2,1,1,0,0,2,4,0,0,6,0,0,1,1
5,15,4,0,0,0,3,0,1,0,1,4,0,2,1,0
36,14,4,1,1,0,0,0,4,0,0,6,0,0,0,1
12,16,4,1,0,0,0,0,4,3,0,6,0,0,1,0
7,12,4,1,0,0,0,2,4,0,0,6,0,0,0,0
30,15,4,1,0,0,0,0,4,0,0,6,0,0,0,1
7,18,4,1,0,0,0,2,4,0,0,1,0,0,0,0
7,13,4,1,0,0,0,0,4,0,0,6,0,0,1,0
11,13,2,1,0,0,0,0,4,0,0,6,0,0,0,0
32,18,4,1,0,0,0,0,4,0,0,6,0,0,0,0
25,14,4,0,1,0,0,0,4,0,0,6,0,2,0,1
6,15,4,1,1,0,0,0,4,2,0,6,0,0,0,1
3,15,4,0,0,0,0,2,4,1,0,6,0,2,0,0
20,11,2,1,0,0,0,0,4,0,0,6,0,0,0,0
13,18,4,1,0,0,0,2,4,0,0,6,0,0,0,0
18,18,3,1,0,0,0,2,4,1,0,6,0,0,0,0
47,15,2,1,1,0,0,0,4,3,0,6,0,0,0,1
48,18,2,0,1,0,0,2,4,0,0,6,0,0,1,1
20,16,3,1,0,0,0,2,4,2,0,6,0,0,0,0
9,15,4,1,0,0,0,2,4,0,0,6,0,0,0,0
16,18,4,0,0,0,0,2,4,1,0,6,0,2,0,0
3,17,4,1,1,0,0,0,4,0,0,1,0,0,0,0
4,17,4,1,0,0,0,2,4,1,0,1,0,0,0,0
3,15,4,0,0,0,0,2,4,0,0,6,0,2,1,0
3,17,4,0,0,0,0,2,4,0,0,6,0,2,0,0
27,17,0,1,1,0,0,2,4,1,0,6,0,0,0,0
9,0,4,0,0,0,0,0,4,3,0,6,0,1,0,0
36,11,0,1,1,0,0,0,4,0,0,6,0,0,1,0
43,15,4,0,1,0,0,2,4,0,0,6,0,0,1,1
36,15,2,1,0,0,0,0,4,0,0,6,0,0,0,0
10,15,4,0,1,0,0,2,4,0,0,6,0,2,0,1
28,11,4,1,0,0,0,0,4,0,0,6,0,0,0,0
4,18,4,0,0,0,0,0,4,3,0,1,0,2,0,0
10,19,4,0,0,0,4,1,4,0,1,6,0,2,1,0
11,15,4,1,0,0,0,2,4,0,0,6,0,0,1,0
7,18,4,1,0,0,0,0,4,0,0,1,0,0,0,0
19,15,4,0,1,0,0,0,4,0,0,6,0,2,0,1
33,15,4,1,0,0,0,0,4,0,0,6,0,0,0,0
45,8,0,1,1,0,4,1,4,0,1,6,0,0,0,0
3,19,4,1,0,0,0,2,4,0,0,1,0,0,0,0
3,11,4,1,0,0,4,0,4,3,1,6,0,0,1,0
24,13,3,1,0,0,4,2,4,0,1,6,0,0,0,0
47,6,2,1,0,0,4,0,4,0,1,6,0,0,0,0
33,17,4,1,0,0,0,0,4,1,0,6,0,0,0,0
18,15,4,1,1,0,0,0,4,0,0,6,0,0,0,0
48,15,4,1,1,0,0,2,4,3,0,6,0,0,0,1
31,12,4,1,0,0,0,2,4,0,0,6,0,0,1,0
6,16,4,1,1,0,2,2,4,0,0,6,0,0,0,0
8,17,4,1,0,0,3,2,1,0,1,4,0,0,1,0
15,16,4,1,0,0,0,0,4,0,0,6,0,0,0,0
37,11,4,1,1,0,0,0,4,0,0,6,0,0,1,0
3,17,4,1,0,0,0,2,4,3,0,6,0,0,0,0
15,16,2,1,0,0,0,0,4,1,0,6,0,0,0,0
24,15,4,1,0,0,0,0,4,1,0,6,0,0,0,0
4,15,4,0,0,0,4,2,4,3,1,6,0,2,0,0
30,11,4,1,0,0,0,0,4,3,0,6,0,0,0,1
6,17,4,1,0,0,0,0,4,1,0,6,0,0,0,0
3,17,4,1,1,0,0,2,4,0,0,6,0,0,0,0
3,15,4,0,0,0,0,2,4,1,0,6,0,2,0,0
38,16,4,1,1,0,0,2,4,0,0,6,0,0,0,0
12,15,0,0,1,0,0,2,4,0,0,6,0,2,1,1
6,18,4,0,0,0,0,0,4,0,0,1,0,2,0,0
13,15,4,1,0,0,0,2,4,0,0,3,0,0,1,0
14,16,4,1,0,0,0,0,4,0,0,6,0,0,0,0
4,13,4,1,1,0,0,2,4,0,0,6,0,0,0,0
10,18,4,0,0,0,0,2,4,3,0,6,0,2,0,0
7,20,4,1,0,0,0,0,4,0,0,1,0,0,0,0
23,15,4,0,0,0,0,0,4,0,0,6,0,2,0,0
7,12,4,1,0,0,0,2,4,0,0,6,0,0,0,0
6,15,4,0,1,0,0,0,4,3,0,6,0,2,0,1
33,15,2,0,1,0,0,0,4,0,0,6,0,2,0,1
20,16,4,1,1,0,0,2,4,0,0,6,0,0,0,0
34,17,2,1,1,0,0,2,4,0,0,6,0,0,0,0
28,8,0,1,0,0,4,2,4,0,1,6,0,0,0,0
3,15,4,1,0,0,0,2,4,0,0,6,0,0,0,0
38,17,4,1,0,0,0,2,4,0,0,6,0,0,0,0
3,15,4,0,0,0,0,2,4,1,0,3,0,2,0,0
41,6,1,1,1,0,0,0,4,2,0,6,0,0,0,1
22,16,4,1,1,0,0,0,4,0,0,6,0,0,0,0
31,16,4,1,0,0,0,0,4,0,0,6,0,0,1,0
8,18,4,1,0,0,0,0,1,0,0,4,0,0,0,0
4,17,4,1,0,0,0,2,4,0,0,6,0,0,0,0
12,15,4,1,1,0,0,2,4,1,0,6,0,0,0,0
4,15,4,1,0,0,0,2,4,0,0,6,0,0,0,0
6,17,4,1,0,0,3,0,4,0,1,1,0,0,0,0
17,15,4,1,1,0,0,0,4,3,0,6,0,0,1,1
7,18,4,1,0,0,0,0,4,0,0,6,0,0,1,0
25,12,4,1,0,0,0,2,2,3,0,6,0,0,1,0
25,13,2,1,0,0,0,2,4,0,0,6,0,0,1,0
12,13,4,1,1,0,4,2,4,0,1,6,0,0,0,0
14,12,4,0,0,0,0,0,4,0,0,6,0,2,0,0
22,18,4,1,0,0,0,0,4,0,0,6,0,0,0,0
5,18,4,0,0,0,0,0,4,1,0,1,0,2,0,0
20,15,4,1,0,0,0,2,4,0,0,6,0,0,0,0
25,18,2,1,1,0,0,0,4,0,0,6,0,0,0,0
16,18,4,0,0,0,0,0,4,0,0,6,0,2,1,0
4,15,4,0,0,0,0,2,4,0,0,6,0,2,0,0
46,11,2,0,1,0,0,2,4,0,0,6,0,0,0,1
3,16,4,1,0,0,0,2,4,3,0,6,0,0,0,1
2,0,4,0,1,0,0,0,4,0,0,6,0,2,0,1
22,12,4,1,1,0,0,2,4,1,0,6,0,0,0,0
3,17,4,1,0,0,0,2,4,1,0,6,0,0,0,0
0,8,4,1,0,0,0,2,0,1,0,0,0,0,0,0
4,18,4,0,0,0,0,0,4,3,0,6,0,2,0,0
38,16,4,0,1,0,0,0,4,0,0,1,0,0,0,1
31,17,0,1,1,0,0,0,4,1,0,6,0,0,0,1
25,16,3,1,0,0,0,0,4,0,0,6,0,0,0,0
25,17,2,1,0,0,0,2,4,0,0,6,0,0,0,1
8,16,4,1,0,0,0,2,4,1,0,6,0,0,0,0
49,15,4,1,1,0,0,0,4,0,0,6,0,0,0,1
4,17,4,1,0,0,0,2,4,1,0,6,0,0,0,0
41,17,1,1,1,0,0,0,2,1,0,6,0,0,0,0
1,12,4,1,0,0,0,0,0,0,0,6,0,0,1,1
6,19,4,0,0,0,0,0,4,0,0,6,0,2,0,0
4,15,4,0,0,0,0,2,4,0,0,1,0,2,0,0
