age,workclass,education,marital-status,occupation,native-country,relationship,hours-per-week,gender,race,income
35,2,9,2,3,38,0,49,1,1,1
4,2,15,4,9,38,3,9,1,1,0
22,2,9,2,13,38,0,95,1,1,1
24,2,15,0,0,38,4,37,0,1,1
29,3,9,2,3,38,0,9,1,1,1
22,4,15,2,7,38,5,14,0,1,1
31,2,9,2,11,38,0,44,1,1,1
21,2,8,0,12,38,1,39,0,1,0
21,2,11,0,9,38,1,44,1,1,1
40,2,15,2,3,38,0,44,1,1,1
24,2,14,0,9,38,4,44,0,1,1
4,2,15,4,0,38,1,34,1,1,0
4,2,15,4,0,38,1,19,0,1,0
10,2,9,4,9,38,1,39,1,1,1
23,4,11,2,2,38,0,39,1,1,0
7,2,15,4,0,38,1,16,0,1,0
18,4,11,0,4,32,1,78,1,1,1
34,2,8,2,7,38,0,54,1,1,1
25,3,9,2,3,38,0,69,1,1,1
28,1,9,2,9,38,5,54,0,1,1
8,2,7,4,7,38,3,42,1,1,0
27,4,9,2,4,38,0,49,1,1,0
25,2,2,4,4,38,3,39,1,1,0
33,2,5,2,13,1,0,64,1,1,1
11,2,11,4,6,38,3,44,1,1,0
34,4,11,2,11,38,0,59,1,1,1
1,2,0,4,7,38,3,23,1,1,0
7,2,11,2,5,38,0,39,1,1,0
19,5,15,2,3,38,5,38,0,1,1
17,2,11,2,4,38,0,49,1,1,0
2,2,15,4,6,38,3,39,1,1,0
23,4,11,2,2,38,0,39,1,1,1
12,2,7,4,6,38,4,44,1,1,1
26,2,11,0,6,38,1,23,0,1,0
28,0,11,2,0,38,5,36,0,1,1
27,2,8,2,2,38,0,39,1,1,0
27,2,11,0,3,38,1,49,0,1,0
17,2,11,2,7,38,0,19,1,1,0
18,2,12,2,3,38,0,49,1,1,1
13,2,11,4,7,38,1,39,1,1,0
22,2,8,2,3,38,5,54,0,1,1
30,2,11,2,8,38,5,34,0,1,1
31,4,15,2,9,38,0,48,1,1,1
29,2,15,2,2,38,0,39,1,1,1
5,2,15,4,11,38,3,39,0,1,0
2,2,2,5,9,38,3,39,0,1,0
4,2,11,4,6,38,3,39,0,1,0
13,4,15,4,0,38,1,59,0,1,1
13,2,7,4,12,38,1,39,0,1,1
27,1,12,2,9,38,5,39,0,1,1
34,2,12,2,11,38,0,29,1,1,0
16,2,11,2,2,38,0,47,1,1,1
25,2,11,2,9,38,0,47,1,1,1
0,2,1,4,11,38,3,17,0,1,0
23,2,15,0,2,8,4,39,0,1,1
12,2,15,4,11,38,1,39,0,1,0
9,2,15,4,9,38,1,39,1,1,1
18,2,1,2,2,38,0,39,1,1,1
26,4,11,2,2,38,0,34,1,1,1
6,2,15,4,11,38,3,27,0,1,0
22,2,8,0,2,38,1,44,1,1,0
12,2,9,2,11,38,0,39,1,1,1
7,2,11,4,2,38,1,41,1,1,0
27,2,9,2,3,38,0,49,1,1,1
4,2,15,4,7,38,1,29,0,1,0
22,2,12,2,3,38,0,39,1,0,1
17,1,15,2,10,38,0,39,1,1,1
26,2,15,2,11,38,0,39,1,1,1
17,4,11,0,4,38,1,39,1,1,0
32,2,9,2,11,38,0,59,1,1,1
22,2,11,2,3,38,0,54,1,1,1
1,2,2,4,5,38,3,21,1,1,0
28,2,11,0,6,38,1,49,1,1,1
13,2,15,2,11,38,0,39,1,1,1
15,2,11,4,7,38,1,55,0,1,0
8,2,1,0,11,38,3,39,0,1,0
37,2,9,4,7,38,1,49,0,1,0
31,5,12,5,9,38,1,59,1,1,0
2,2,15,4,7,38,1,19,1,1,0
4,2,15,4,7,10,1,24,0,1,0
20,1,8,2,3,38,0,44,1,1,1
42,2,11,5,0,38,4,39,0,1,0
23,2,11,2,6,38,0,39,1,1,1
13,2,9,4,9,27,1,59,0,1,0
23,4,9,4,9,38,1,49,1,1,1
34,5,5,2,13,38,0,39,1,1,1
30,2,7,2,11,38,0,49,1,1,1
4,5,15,4,0,38,3,19,0,1,0
21,1,15,2,10,38,0,59,1,1,1
28,0,9,2,9,38,0,39,1,1,1
29,0,11,2,0,38,0,39,1,1,1
26,2,1,2,2,38,0,39,1,1,0
24,5,9,2,9,38,5,39,0,1,1
25,2,11,2,0,38,0,44,1,1,0
16,4,11,2,13,38,0,59,1,1,0
12,2,11,2,13,38,0,69,1,1,1
37,2,11,2,2,38,0,43,1,1,1
4,2,15,4,0,38,3,19,0,1,0
4,2,11,4,2,38,1,41,1,1,0
36,2,11,2,13,38,0,39,1,1,1
29,2,9,2,12,38,0,59,1,1,1
13,2,11,2,2,38,0,39,1,1,0
14,2,11,2,2,38,0,51,1,1,1
11,2,11,4,5,38,1,49,1,1,0
1,2,11,4,7,38,1,29,0,1,0
27,2,11,2,13,38,0,39,1,1,0
20,2,11,0,11,1,4,24,0,1,0
22,2,11,4,4,38,4,39,1,1,0
30,2,9,2,11,38,0,59,1,1,1
34,4,15,2,3,38,0,59,1,0,0
17,2,11,2,2,38,0,39,1,1,1
1,2,1,2,2,38,0,39,1,1,0
1,2,1,4,5,38,1,24,1,1,0
10,2,15,0,6,38,4,39,0,1,0
10,2,11,2,2,38,0,69,1,1,0
5,2,11,4,5,38,4,39,1,1,0
23,0,9,2,10,38,0,39,1,1,1
20,3,2,2,2,38,0,39,1,1,1
20,3,7,2,11,38,0,67,1,1,1
23,2,11,5,0,38,4,44,0,1,0
1,2,11,4,12,38,3,9,0,1,0
16,0,11,0,0,38,4,39,0,1,0
44,2,11,0,7,38,1,39,0,1,0
34,2,11,0,9,38,1,39,0,1,0
20,1,9,0,9,38,4,54,0,1,1
40,3,15,2,12,38,0,59,1,1,1
22,2,9,2,9,38,0,42,1,1,1
40,2,11,2,3,38,5,39,0,1,1
11,2,11,2,2,38,0,44,1,1,1
29,5,9,4,3,38,4,39,0,1,1
9,2,7,2,0,38,5,39,0,1,1
26,2,11,2,0,38,0,39,1,1,0
7,2,11,0,5,38,4,39,1,1,0
3,4,15,4,11,38,1,24,0,1,0
61,1,11,6,0,38,4,4,0,1,0
4,2,11,4,7,38,2,19,0,1,0
16,1,12,4,9,38,1,39,0,1,1
2,2,11,2,11,38,0,39,1,1,0
3,2,11,4,6,38,1,39,1,1,0
3,2,11,4,11,38,1,34,0,1,0
19,2,11,2,3,38,0,39,1,1,1
1,2,2,4,7,38,3,19,0,1,0
26,2,9,0,9,27,4,23,0,1,0
21,2,12,2,9,38,0,39,1,1,1
33,2,15,2,12,38,0,44,1,1,1
53,2,9,2,11,38,0,69,1,1,1
18,4,9,2,9,38,0,39,1,1,0
41,4,11,2,11,38,0,49,1,1,0
40,2,15,0,0,38,4,39,0,1,0
42,1,9,2,9,38,5,44,0,1,1
28,2,11,2,9,38,5,13,0,1,0
17,2,15,2,2,38,0,49,1,1,1
21,3,10,2,9,38,0,49,1,1,1
32,2,14,2,9,38,0,44,1,1,1
27,2,9,2,3,38,0,39,1,1,1
3,2,15,4,11,38,3,17,0,1,0
33,2,8,2,13,38,0,54,1,1,1
6,2,15,2,11,38,3,15,0,1,1
33,2,11,2,6,38,0,43,1,1,1
25,2,1,2,13,38,0,44,1,1,1
23,0,11,2,11,38,0,39,1,1,1
34,0,15,2,3,38,0,39,1,1,1
40,2,11,2,13,38,0,49,1,1,1
12,2,11,4,5,38,3,39,1,1,0
33,0,7,2,3,38,0,59,1,1,1
23,0,15,2,12,38,0,39,1,1,1
35,2,11,6,11,38,4,39,0,1,0
6,2,11,4,11,38,3,34,1,1,0
29,2,9,2,9,38,0,39,1,1,1
26,1,8,2,10,38,0,55,1,1,1
5,2,11,4,0,38,4,39,1,1,0
4,2,11,4,7,38,1,63,0,1,0
25,2,11,2,5,38,0,39,1,1,1
36,2,15,2,12,38,0,39,1,1,1
9,2,15,2,13,38,0,39,1,1,0
10,2,11,2,11,38,0,39,1,1,1
8,2,8,2,3,38,0,73,1,1,1
30,2,11,2,6,38,0,39,1,1,1
14,2,11,2,2,38,0,49,1,1,1
12,2,11,5,11,38,1,49,1,1,1
33,2,15,0,7,38,1,39,0,1,0
29,2,5,4,5,38,1,49,1,1,0
7,2,11,5,6,38,1,39,1,1,0
6,2,11,2,3,38,0,29,1,1,0
16,2,11,4,13,38,1,84,1,1,0
20,5,14,2,9,38,5,38,0,1,1
34,5,8,0,12,38,1,38,1,1,1
19,5,15,0,3,38,1,38,0,1,1
29,2,9,4,9,38,1,39,0,1,0
30,2,11,2,2,38,0,39,1,1,0
3,2,11,2,11,38,3,39,1,1,0
34,4,15,5,3,38,1,59,0,1,0
14,2,8,2,13,38,0,29,1,1,1
15,2,15,0,6,38,4,39,0,1,0
21,0,11,2,6,38,0,55,1,1,1
33,2,8,2,10,38,0,39,1,1,1
1,2,15,4,11,38,3,27,1,1,0
33,1,10,2,3,38,0,54,1,1,1
3,2,15,4,11,38,3,15,1,1,0
28,4,14,2,9,38,0,59,1,1,1
18,2,11,2,3,38,0,44,1,1,1
13,2,11,2,2,38,0,49,1,1,0
28,0,15,2,0,32,0,39,1,1,1
26,2,15,2,0,38,0,39,1,1,0
22,2,15,0,0,38,1,59,0,1,0
17,2,11,4,3,8,4,19,0,1,0
9,2,0,2,13,38,0,34,1,1,0
6,2,0,2,5,38,0,9,1,1,0
33,3,10,2,3,38,0,59,1,1,1
33,4,12,2,11,38,0,54,1,1,1
12,2,10,2,9,18,0,59,1,0,1
20,5,12,4,3,38,1,64,1,1,1
22,4,15,0,11,38,4,46,1,1,0
18,2,12,4,11,38,1,39,0,1,0
13,2,11,2,7,10,0,54,1,1,1
5,4,15,4,2,38,1,47,1,1,0
10,2,11,0,7,38,1,39,0,1,0
13,5,11,2,10,38,0,39,1,1,0
11,2,7,2,13,38,0,39,1,1,1
15,2,11,2,11,38,0,29,1,1,0
22,2,11,4,2,38,3,39,1,1,0
18,4,11,4,7,1,4,4,0,1,0
8,2,0,2,13,38,0,39,1,1,1
17,2,11,2,2,38,0,39,1,1,1
24,4,11,2,3,38,0,37,1,1,1
9,2,11,2,11,38,0,47,1,1,0
28,2,11,2,2,38,0,29,1,1,0
25,2,11,2,6,38,0,39,1,1,0
12,2,11,2,2,38,0,39,1,1,1
25,5,11,5,0,38,4,38,1,1,0
30,2,5,5,7,38,1,37,0,1,0
13,2,9,2,3,38,0,44,1,1,1
17,2,11,2,11,38,0,69,1,1,1
38,2,11,2,11,38,0,34,1,1,0
18,2,8,0,7,38,4,34,0,1,0
4,2,11,4,7,38,1,29,0,1,0
22,2,11,2,13,38,0,39,1,1,1
25,2,9,2,3,38,0,39,1,1,1
56,3,0,6,11,1,4,39,0,1,0
30,3,9,4,11,38,3,39,1,1,1
58,2,0,6,8,38,1,69,0,1,0
18,2,11,2,3,38,0,44,1,1,1
36,4,9,2,2,38,0,39,1,1,1
12,4,11,2,2,38,0,39,1,1,1
37,2,11,2,2,38,0,34,1,1,1
30,5,15,0,2,38,4,39,1,1,0
1,2,11,4,7,38,3,15,0,1,0
0,2,2,4,7,38,3,15,1,1,0
4,2,15,4,7,38,1,39,0,1,0
24,1,15,2,13,38,5,24,0,1,1
23,2,11,0,2,38,1,44,1,1,0
16,2,0,4,6,38,1,44,0,1,0
14,2,11,2,2,38,0,49,1,1,1
21,4,8,0,7,38,4,39,0,1,0
33,2,11,2,2,38,0,49,1,1,1
2,2,15,4,11,38,3,19,0,1,0
31,0,11,2,5,38,0,39,1,1,1
12,4,11,2,4,38,0,39,1,1,1
7,2,15,4,6,38,1,39,1,1,0
18,2,11,2,2,38,0,39,1,1,0
31,3,9,2,2,38,0,49,1,1,0
5,2,11,4,0,38,3,39,0,1,0
7,2,11,4,2,38,4,39,1,1,0
19,2,15,2,13,38,0,44,1,1,1
28,2,11,4,6,38,1,39,1,1,0
25,2,15,0,6,38,1,39,0,1,0
19,2,9,2,3,38,0,54,1,1,1
24,2,9,0,9,38,3,39,0,1,0
24,1,12,2,9,38,0,49,1,1,1
48,3,1,2,3,38,0,34,1,1,1
29,2,7,2,2,38,0,44,1,1,1
20,2,6,2,10,38,0,15,1,1,0
18,2,8,2,2,38,0,41,1,1,1
46,1,12,2,9,38,0,47,1,1,1
4,2,15,4,3,38,3,39,0,1,0
16,2,11,2,5,38,0,37,1,1,1
28,5,8,2,9,38,0,39,1,1,1
11,2,11,2,5,38,0,37,1,1,0
20,1,8,4,10,38,1,39,0,1,1
24,3,11,2,3,1,0,49,1,1,1
7,2,11,2,7,38,0,44,1,1,1
17,2,15,4,9,38,3,34,1,1,0
21,2,9,2,12,38,5,23,0,1,1
27,2,15,2,5,38,0,39,1,1,1
17,2,9,2,0,38,0,36,1,1,1
41,2,11,2,3,38,0,44,1,1,1
0,2,1,4,11,38,3,11,0,1,0
39,5,12,0,9,38,1,38,0,1,1
18,2,0,2,6,38,0,44,1,1,1
29,2,6,2,6,38,0,42,1,1,0
22,4,7,2,0,38,5,39,0,1,1
1,4,1,4,0,38,3,19,0,1,0
30,2,11,2,13,38,0,39,1,1,0
3,2,11,4,13,38,3,34,0,1,0
26,3,15,2,3,38,0,49,1,1,1
1,1,2,4,10,38,3,39,1,1,0
15,2,9,2,11,38,0,49,1,1,1
37,1,8,2,10,38,0,37,1,1,1
29,2,15,2,3,38,0,49,1,1,1
11,2,12,4,9,38,4,39,0,0,0
33,0,9,2,3,38,0,39,1,1,1
28,2,8,0,3,38,1,59,1,1,1
23,2,15,0,12,38,4,39,0,1,1
41,1,11,0,3,38,1,32,1,1,0
43,2,11,4,5,38,1,39,1,1,0
17,2,9,2,3,38,0,39,1,1,1
21,2,15,0,2,38,4,39,0,1,0
17,2,8,0,2,38,1,39,1,1,0
40,4,11,2,2,38,0,49,1,1,1
15,2,11,0,2,38,1,39,1,1,0
12,2,14,4,9,38,1,54,0,1,0
11,2,14,4,9,38,1,54,1,1,1
5,2,15,4,9,38,1,34,0,1,0
34,2,11,3,7,38,4,39,0,1,0
38,2,11,2,0,38,0,49,1,1,1
49,2,11,6,8,8,1,49,0,1,0
25,4,11,2,4,38,0,59,1,1,1
25,2,15,0,3,38,4,44,0,1,1
2,2,15,4,11,38,3,29,0,1,0
18,2,7,4,5,38,1,49,1,1,0
21,4,9,2,4,38,0,59,1,1,1
36,2,11,2,2,38,0,39,1,1,1
7,2,11,4,2,38,3,39,1,1,0
44,0,15,2,0,38,5,29,0,1,1
9,2,11,4,4,38,3,39,1,1,0
19,0,11,2,0,38,0,39,1,1,1
24,2,8,2,11,38,0,39,1,1,1
27,2,8,4,8,38,1,24,1,1,0
18,2,9,4,9,38,1,39,0,1,0
11,2,11,4,7,38,4,39,0,1,0
14,2,0,4,7,38,1,39,1,1,0
34,2,11,2,7,38,0,34,1,1,1
21,3,9,4,2,38,1,19,0,1,1
27,2,7,4,9,38,1,35,0,1,1
55,4,11,2,4,38,0,41,1,1,0
37,4,9,2,3,38,5,34,0,1,1
11,1,9,4,9,38,3,54,0,1,1
54,2,5,6,13,38,1,9,1,1,0
24,4,15,0,2,38,1,39,1,1,0
19,4,15,2,2,38,0,59,1,1,1
32,2,11,0,13,38,1,87,1,1,0
17,2,15,2,12,38,0,81,1,1,1
21,2,11,2,11,38,0,44,1,1,1
41,4,11,2,11,38,0,54,1,1,1
48,2,11,4,0,38,4,39,0,1,0
17,1,11,4,0,38,3,39,0,1,0
24,4,11,2,4,38,0,59,1,1,0
24,2,9,2,11,38,0,49,1,1,1
58,2,11,2,11,38,0,19,1,1,0
31,2,11,2,7,38,0,39,1,1,0
7,2,11,2,2,38,0,39,1,1,0
34,2,2,2,13,38,0,39,1,1,0
4,2,11,4,11,38,4,39,0,1,0
22,2,15,2,13,38,0,39,1,1,1
17,2,11,2,3,38,0,44,1,1,1
41,1,15,4,9,38,1,54,0,1,1
38,1,9,2,3,38,0,39,1,1,1
33,5,11,0,0,38,4,45,0,1,1
52,2,12,2,9,38,0,24,1,1,0
37,5,7,0,0,38,1,38,1,1,0
22,2,12,4,7,38,1,31,0,1,1
36,5,12,2,3,38,0,41,1,1,1
64,2,9,2,0,38,0,3,1,1,1
36,3,10,2,11,18,0,39,1,0,1
37,2,11,2,0,38,0,39,1,1,1
27,2,11,2,0,38,0,44,1,1,1
45,2,9,2,9,38,0,49,1,1,1
27,2,9,0,7,38,1,64,0,1,0
32,2,8,2,2,38,0,39,1,1,1
2,2,15,4,7,38,3,19,0,1,0
23,2,5,2,2,38,0,59,1,1,0
28,3,9,2,11,38,0,39,1,1,1
40,2,12,3,9,38,1,39,0,1,1
33,5,15,0,0,38,1,38,0,1,0
40,3,12,2,11,38,0,49,1,1,1
30,4,11,2,4,38,0,34,1,1,1
12,1,9,2,3,38,0,54,1,1,0
32,2,11,2,0,38,0,39,1,1,1
26,2,11,2,11,38,0,44,1,1,1
51,4,10,2,9,1,0,49,1,1,0
35,2,11,2,6,38,0,47,1,1,1
21,0,11,2,0,38,0,39,1,1,1
21,2,1,0,6,38,1,39,1,1,0
26,2,11,4,5,38,1,39,1,1,0
12,2,11,4,11,38,4,39,0,1,0
18,1,9,4,3,38,1,39,1,1,0
28,2,15,2,6,38,0,43,1,1,1
4,2,11,4,0,38,3,34,0,1,1
1,2,2,4,8,38,3,39,1,1,0
15,4,11,0,2,38,4,39,1,1,0
21,2,11,4,6,38,1,39,0,1,0
19,4,11,5,7,38,1,15,0,1,0
18,0,15,4,5,38,4,39,0,1,0
18,2,11,4,6,38,1,39,0,1,0
17,5,11,0,2,38,1,39,1,1,1
26,1,12,2,9,38,0,44,1,1,1
32,2,7,5,0,38,1,39,0,1,0
33,2,11,2,9,38,0,39,1,1,1
22,2,12,2,3,38,0,44,1,1,1
23,2,0,2,6,38,0,39,1,1,1
38,2,11,2,13,38,0,49,1,1,0
6,2,11,4,4,38,3,39,1,1,0
19,2,15,2,13,38,0,44,1,1,1
46,0,15,2,12,38,0,17,1,1,1
21,2,7,0,0,38,4,39,0,1,0
0,2,6,4,7,38,4,19,0,1,0
14,2,0,0,6,38,1,39,1,1,0
29,2,7,4,9,38,1,32,0,1,1
9,2,8,2,5,38,0,39,1,1,0
13,2,9,2,0,38,0,39,1,1,1
20,2,11,0,11,38,4,73,1,1,0
2,2,1,4,6,38,1,24,0,1,0
2,2,1,4,2,38,1,55,1,1,0
40,4,15,2,7,38,0,47,1,1,0
25,2,11,2,13,38,0,49,1,1,0
41,2,0,2,13,38,0,49,1,1,1
20,2,0,4,6,38,1,64,1,1,1
16,2,11,2,6,38,0,39,1,1,1
24,2,9,2,3,38,0,59,1,1,1
26,0,8,0,2,38,1,39,1,1,1
25,0,11,0,0,38,1,39,0,1,0
38,2,11,2,12,38,0,19,1,1,0
33,4,9,2,3,38,0,12,1,1,1
17,5,11,2,10,38,0,39,1,1,1
46,2,15,2,2,38,0,44,1,1,1
16,2,9,2,3,38,0,44,1,1,1
13,2,7,2,13,38,5,36,0,1,1
11,2,15,4,0,38,1,39,0,1,0
17,2,6,5,0,38,4,37,0,1,0
26,2,15,2,3,38,0,44,1,1,1
21,2,14,4,3,38,1,39,1,1,1
20,2,11,0,0,38,1,39,0,1,0
15,3,11,2,11,38,0,64,1,1,1
10,2,11,2,3,38,0,49,1,1,1
5,2,7,4,13,38,1,44,1,1,0
1,2,15,4,7,38,3,23,0,1,0
35,2,1,2,7,38,0,31,1,1,1
21,2,9,2,9,38,0,44,1,1,1
10,2,15,0,11,38,4,34,0,1,0
11,2,15,4,7,38,1,39,1,1,0
5,2,11,4,2,38,1,44,1,1,0
19,2,11,0,0,38,4,39,0,1,0
14,3,11,4,2,38,1,44,1,1,0
6,2,9,4,3,38,1,39,1,1,0
5,2,9,4,11,38,1,39,1,1,0
5,2,9,4,3,38,1,29,1,1,0
7,2,11,4,11,38,1,37,1,1,0
6,2,15,0,0,38,1,39,1,1,0
20,2,9,4,13,38,1,45,1,1,1
32,3,14,2,9,38,0,59,1,1,1
17,2,9,2,3,38,0,39,1,1,1
60,2,11,6,0,38,1,39,0,1,1
8,2,9,4,3,38,1,49,1,1,1
22,2,15,2,7,38,0,81,1,0,1
1,2,11,4,11,38,3,39,0,0,0
25,2,9,0,11,38,4,49,0,1,0
23,2,9,2,11,38,0,49,1,1,1
21,1,9,2,9,38,0,49,1,1,1
41,3,8,2,3,38,0,39,1,1,1
10,3,15,5,11,38,3,39,0,1,0
29,1,12,2,3,38,0,44,1,1,1
0,2,1,4,5,38,3,11,1,1,0
17,2,11,5,0,38,4,39,1,1,0
15,2,7,2,9,38,0,41,1,1,1
27,2,11,2,11,38,5,39,0,1,1
2,2,15,0,7,38,3,39,0,1,0
35,2,7,2,11,38,0,47,1,1,1
33,2,11,2,2,38,0,44,1,1,1
5,2,11,4,0,38,3,39,0,1,0
10,1,9,4,10,38,1,31,0,1,0
6,2,6,4,13,38,3,39,1,1,0
27,2,12,2,12,38,0,19,1,1,1
2,2,11,4,0,38,3,29,1,1,0
21,4,9,2,2,38,0,34,1,1,0
73,4,11,4,3,38,1,11,1,1,0
10,2,7,4,0,38,1,39,1,1,1
31,2,12,0,11,38,1,34,1,1,1
28,0,11,2,2,38,0,39,1,1,1
20,0,11,0,5,38,4,39,1,1,0
49,3,5,2,3,38,0,49,1,1,0
14,2,11,4,3,38,3,59,1,1,0
27,2,11,2,2,38,5,39,0,1,1
4,2,8,4,3,38,3,59,0,1,1
2,2,8,4,7,38,3,19,0,1,0
36,4,9,2,3,38,0,39,1,1,1
58,2,0,6,7,38,1,14,0,1,1
9,5,8,0,3,38,1,37,0,1,0
22,2,2,2,6,38,0,39,1,1,0
15,2,9,4,9,38,1,44,1,1,1
37,2,10,2,9,38,0,49,1,1,1
27,4,15,4,0,38,1,44,0,1,1
31,4,15,4,0,38,1,39,1,1,1
16,2,11,2,2,38,0,29,1,1,1
33,2,12,2,3,38,0,39,1,1,1
30,2,12,0,9,38,1,44,1,1,1
37,4,14,2,9,38,0,29,1,1,1
1,2,11,4,7,1,3,24,1,1,0
52,2,11,6,0,38,1,23,0,1,0
28,4,12,0,9,38,1,14,0,1,0
9,2,0,2,0,38,5,39,0,1,1
12,2,11,0,2,38,1,49,0,1,1
19,2,11,4,6,38,3,39,0,1,0
18,5,15,4,9,38,3,34,1,1,1
47,2,1,2,11,38,0,39,1,1,0
15,2,11,2,3,38,5,49,0,1,1
28,2,8,2,2,1,0,39,1,1,1
5,2,9,4,9,38,3,39,0,1,0
5,2,9,4,3,38,3,6,0,1,0
46,2,11,0,13,38,4,44,1,1,1
9,2,11,0,3,38,3,39,0,1,0
13,2,9,2,9,38,0,39,1,0,1
19,2,7,4,12,38,1,39,0,1,0
20,2,9,2,3,38,0,59,1,1,1
24,2,11,0,5,38,4,47,1,1,0
17,2,11,4,0,38,1,39,0,1,1
22,2,12,2,3,38,0,39,1,1,1
34,2,11,2,2,38,0,54,1,1,1
7,2,9,4,0,38,3,39,0,1,0
4,2,11,4,7,38,3,39,0,1,0
25,0,9,2,3,38,0,39,1,1,1
1,2,15,4,11,38,3,14,1,1,0
30,2,9,2,3,38,0,42,1,1,1
23,2,8,2,9,38,0,39,1,1,1
8,2,11,4,7,38,4,21,0,1,0
8,2,11,4,5,38,1,44,1,1,0
22,1,11,0,0,38,3,41,1,1,0
35,2,11,6,7,38,4,18,1,1,0
6,2,9,4,9,38,3,41,1,1,1
33,2,11,2,0,38,5,39,0,1,1
10,2,9,4,12,38,3,39,1,1,1
8,2,11,4,5,38,3,39,1,1,0
23,2,15,2,12,38,0,47,1,1,1
3,2,1,4,5,38,3,38,1,1,0
21,2,9,2,2,38,0,44,1,1,1
20,2,9,5,3,38,1,54,1,1,1
22,2,11,0,9,38,1,39,0,1,1
23,2,12,2,11,38,0,39,1,1,1
15,2,9,4,9,38,1,39,1,1,1
17,4,11,5,3,38,1,49,1,1,0
18,1,9,4,9,38,1,54,0,1,1
13,2,12,4,9,38,1,44,0,1,0
18,4,9,0,3,38,4,54,0,1,0
21,2,9,2,11,38,0,49,1,1,1
25,2,11,0,11,38,1,46,1,1,1
33,2,11,0,0,38,1,39,0,1,1
19,2,11,2,12,38,0,44,1,1,1
44,2,8,2,0,38,0,39,1,1,1
7,2,8,4,12,38,3,39,1,1,0
25,2,15,6,12,38,4,39,0,1,1
11,2,15,2,0,38,0,39,1,1,1
12,2,9,2,9,38,0,44,1,1,1
26,1,9,2,9,38,5,27,0,1,1
41,2,11,2,5,38,2,39,1,1,1
28,2,11,4,6,1,4,39,0,1,0
16,2,11,4,2,38,1,49,1,1,1
6,2,2,4,2,38,1,49,1,1,0
7,4,15,4,7,38,1,49,0,1,0
18,2,9,2,7,38,5,31,0,1,0
39,2,5,2,6,38,5,44,0,1,1
36,2,5,2,4,38,0,44,1,1,1
3,2,11,4,6,38,3,42,1,1,0
0,2,11,4,11,38,3,19,0,1,0
4,1,15,4,7,38,1,39,0,1,0
3,2,11,4,6,38,1,39,1,1,0
